Agency_Name,Planned_Project_Completion_Date_B2,Projected_slash_Actual_Project_Completion_Date_B2,Project_isDelayed,Lifecycle_Cost,Start_Date
Department of Labor,,,,0.064572,01/10/2011
Department of Labor,,,,0.180626,01/10/2011
Department of Labor,,,,0.1411,01/04/2012
Department of Labor,,,,0.260251,01/07/2012
Department of Labor,,,,1.19,15/11/2010
Department of Labor,,,,1.04,29/11/2010
Department of Labor,,,,1,02/11/2011
Department of Labor,,,,1,01/08/2012
Department of Labor,,,,0.9,03/04/2012
Department of Labor,,,,0.13,01/10/2012
Department of Labor,,,,0.12,01/10/2012
Department of Labor,,,,68.329951,17/08/2005
Department of Labor,,,,45.080149,14/03/2011
Department of Labor,,,,6.402,25/09/2011
Department of Labor,,,,7.218,01/10/2008
Department of Labor,,,,3.192,04/01/2010
Department of Labor,,,,18.14645,01/03/2010
Department of Labor,,,,0.47,01/10/2010
Department of Labor,,,,1.5,01/09/2011
Department of Labor,,,,18.622,05/10/2009
Department of Labor,,,,11.424988,14/06/2010
Department of Labor,,,,5.766,28/03/2011
Department of Labor,,,,0.75,15/02/2012
Department of Labor,,,,5.751,01/10/2010
Department of Labor,,,,7.3,19/09/2011
Department of Labor,,,,3.215,26/09/2011
Department of Labor,,,,4.958,26/08/2010
Department of Labor,,,,1.44,01/11/2011
Department of Labor,,,,0.705,19/09/2011
Department of Labor,,,,3.05,19/05/2011
Department of Labor,,,,11.409,23/05/2011
Department of Labor,,,,0.878,07/05/2010
Department of Labor,,,,7.501,01/11/2010
Department of Labor,,,,0.135,01/10/2010
Department of Labor,,,,5.68,01/02/2011
Department of State,30/09/2012,31/12/2012,92,3.9,01/10/2010
Department of State,30/09/2012,30/09/2012,0,16.54842,01/10/2011
Department of State,30/09/2012,30/09/2012,0,4.101,01/10/2011
Department of State,30/09/2012,30/09/2012,0,35.603,01/10/2003
Department of State,30/09/2012,30/09/2012,0,6.63,01/10/2006
Department of State,30/09/2012,30/09/2012,0,1.607,01/10/2008
Department of State,30/09/2012,30/09/2012,0,1.02,01/10/2007
Department of State,30/09/2012,30/09/2012,0,6.2,01/10/2011
Department of State,30/09/2012,30/09/2012,0,13,01/10/2011
Department of State,30/09/2012,30/09/2012,0,5.7,01/10/2011
Department of State,30/09/2012,30/09/2012,0,12.2,01/10/2011
Department of State,30/09/2012,30/09/2012,0,8.6,01/10/2011
Department of State,30/09/2012,30/09/2012,0,12.8,01/10/2011
Department of State,30/09/2012,30/09/2012,0,63.106,25/02/2008
Department of State,30/09/2012,30/09/2012,0,20.794,29/09/2008
Department of State,08/10/2012,30/09/2012,-8,3.611,27/02/2007
Department of State,30/09/2012,30/09/2012,0,12.985,03/10/2005
Department of State,30/09/2012,30/09/2012,0,43.979,29/09/2008
Department of State,29/09/2012,30/09/2012,1,22.896826,01/10/2011
Department of State,29/09/2012,30/09/2012,1,9.053882,01/10/2011
Department of State,30/09/2012,30/09/2012,0,5461,01/10/2011
Department of State,30/09/2012,30/09/2012,0,98339,01/10/2011
Department of State,30/09/2012,30/09/2012,0,1522,01/10/2011
Department of State,30/09/2012,30/09/2012,0,1701,01/10/2011
Department of State,30/09/2012,30/09/2012,0,1491,01/10/2011
Department of State,30/09/2012,30/09/2012,0,8104,01/10/2011
Department of State,30/09/2012,30/09/2012,0,2978,01/10/2011
Department of State,30/09/2012,30/09/2012,0,23363,01/10/2011
Department of State,30/09/2012,30/09/2012,0,31830,01/10/2011
Department of State,30/09/2012,30/09/2012,0,2058,01/10/2011
Department of State,30/09/2012,30/09/2012,0,4636,01/10/2011
Department of State,30/09/2012,30/09/2012,0,2802,01/10/2011
Department of State,30/09/2012,30/09/2012,0,1336,01/10/2011
Department of State,30/09/2012,30/09/2012,0,9097,01/10/2011
Department of State,30/09/2012,30/09/2012,0,1213,01/10/2011
Department of State,30/09/2012,30/09/2012,0,5001,01/10/2011
Department of State,30/09/2012,30/09/2012,0,8606,01/10/2011
Department of State,30/09/2012,30/09/2012,0,7179,01/10/2011
Department of State,30/09/2012,30/09/2012,0,2.2095,01/10/2011
Department of State,30/09/2012,30/09/2012,0,3.281694,01/04/2012
Department of State,29/09/2012,29/09/2012,0,22.831,01/10/2011
Department of State,30/08/2012,30/08/2012,0,1.45873,01/10/2011
Department of State,30/09/2011,31/05/2012,244,5.624,01/10/2009
Department of State,28/09/2012,30/03/2012,-182,1.45,01/10/2010
Department of State,30/09/2011,31/01/2012,123,5.608,01/10/2010
Department of State,29/09/2012,31/01/2012,-242,5.846,01/10/2009
Department of State,30/12/2011,31/12/2011,1,1.148,01/01/2011
Department of State,30/09/2012,30/12/2011,-275,3.289,01/10/2009
Department of State,07/11/2011,10/11/2011,3,2878.879,17/10/2011
Department of State,30/09/2011,30/09/2011,0,0.194,01/01/2011
Department of State,30/09/2011,30/09/2011,0,1.7749,01/10/2010
Department of State,30/09/2011,30/09/2011,0,1.1033,01/10/2010
Department of State,,,,17.617,01/10/2009
Department of State,,,,16.066,01/10/2009
Department of State,,,,2.112,30/10/2009
Department of State,,,,14803.494,10/02/2010
Department of State,,,,3.469,01/10/2009
Department of State,,,,3.011,01/10/2009
Department of State,,,,6.198,01/12/2010
Department of State,,,,3.119,01/10/2012
Department of State,,,,22.881,01/10/2012
Department of State,,,,1.954,01/10/2012
Department of State,,,,2.344,01/10/2009
Department of State,,,,3.194,01/10/2010
Department of State,,,,1.512,01/10/2011
Department of State,,,,60.767,01/10/2009
Department of State,,,,25.65,01/01/2011
Department of State,,,,2.443,07/10/2011
Department of State,,,,20.794,03/10/2005
Department of State,,,,1.723225,01/10/2011
Department of State,,,,1.61445,01/10/2011
Department of State,,,,1122,01/10/2011
Department of State,,,,5833,01/10/2011
Department of State,,,,8827,01/10/2011
Department of State,,,,0.575,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,41480,28/04/2011
Department of the Interior,30/09/2012,30/09/2012,0,21.944,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,80.331096,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,7.112,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,70.06221,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,12.547182,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,52.597902,01/10/2011
Department of the Interior,30/09/2012,30/09/2012,0,0.823,01/10/2010
Department of the Interior,30/09/2012,30/09/2012,0,20.201,01/10/2010
Department of the Interior,30/09/2012,30/09/2012,0,7.6,01/10/2011
Department of the Interior,28/09/2012,28/09/2012,0,4.654,03/10/2011
Department of the Interior,28/09/2012,28/09/2012,0,0.175,03/10/2011
Department of the Interior,28/09/2012,28/09/2012,0,0.465,03/10/2011
Department of the Interior,28/09/2012,28/09/2012,0,0.465,03/10/2011
Department of the Interior,19/09/2012,19/09/2012,0,0.465,03/10/2011
Department of the Interior,30/06/2012,30/06/2012,0,0.087,01/07/2011
Department of the Interior,30/03/2012,15/02/2012,-44,0.021,03/10/2011
Department of the Interior,05/02/2012,05/02/2012,0,6328.517,08/11/2011
Department of the Interior,30/09/2011,15/10/2011,15,0.436141,01/10/2010
Department of the Interior,30/09/2011,30/09/2011,0,1.061,01/07/2011
Department of the Interior,30/09/2011,30/09/2011,0,19.5,01/04/2009
Department of the Interior,30/09/2011,30/09/2011,0,7.83,01/10/2010
Department of the Interior,30/09/2011,30/09/2011,0,4.654,01/10/2010
Department of the Interior,30/09/2011,30/09/2011,0,0.175,01/10/2010
Department of the Interior,30/08/2011,30/08/2011,0,2.045,03/03/2010
Department of the Interior,,,,0.2001,01/10/2011
Department of the Interior,,,,31.965872,01/10/2008
Department of the Interior,,,,0.23,15/06/2011
Department of the Interior,,,,0.02,01/07/2012
Department of the Interior,,,,2,01/10/2011
Department of the Interior,,,,1.22,01/10/2010
Department of the Interior,,,,24.151191,05/07/2011
Department of the Interior,,,,1.85,05/09/2011
Department of the Interior,,,,2.2,23/07/2012
Department of the Interior,,,,0.38,01/10/2011
Department of the Interior,,,,36.057,01/10/2010
Department of the Interior,,,,0.3,01/08/2012
Department of the Treasury,31/05/2013,31/05/2013,0,2.094166,01/10/2011
Department of the Treasury,30/04/2013,30/04/2013,0,9.983151,01/10/2011
Department of the Treasury,01/04/2013,01/04/2013,0,41.737,03/05/2010
Department of the Treasury,29/03/2013,29/03/2013,0,14.43,17/09/2011
Department of the Treasury,01/03/2013,01/03/2013,0,23.51,01/07/2011
Department of the Treasury,28/02/2013,28/02/2013,0,5.171101,01/10/2011
Department of the Treasury,30/08/2012,28/02/2013,182,22,12/07/2009
Department of the Treasury,31/12/2012,31/12/2012,0,73.582,01/10/1998
Department of the Treasury,31/12/2012,31/12/2012,0,19.66,01/10/2011
Department of the Treasury,30/11/2012,30/11/2012,0,2.255253,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,59.886645,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,357.336,01/10/2009
Department of the Treasury,30/09/2012,30/09/2012,0,9.707,01/02/2009
Department of the Treasury,30/09/2012,30/09/2012,0,8.798,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,5.178,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,1.661,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,1.925,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,0.84,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,3.095,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,1.899,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,0.429,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,1.927104,01/04/2012
Department of the Treasury,30/09/2012,30/09/2012,0,12.656,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,4.096,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,7.775,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,3.682,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,2.902,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,4.428,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,0.278,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,0.5,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,2.074,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,5.102,01/10/2011
Department of the Treasury,30/09/2012,30/09/2012,0,5.6,01/05/2011
Department of the Treasury,17/09/2012,17/09/2012,0,1.15,01/10/2011
Department of the Treasury,10/09/2012,10/09/2012,0,0.8347,03/10/2011
Department of the Treasury,30/07/2012,27/07/2012,-3,2.435226,01/02/2012
Department of the Treasury,31/07/2012,22/07/2012,-9,6.028282,01/03/2011
Department of the Treasury,30/04/2012,30/06/2012,61,2.48,29/08/2011
Department of the Treasury,30/06/2012,23/06/2012,-7,0.04,15/02/2012
Department of the Treasury,14/04/2012,08/06/2012,55,1.0143,03/10/2011
Department of the Treasury,31/03/2012,06/06/2012,67,0.95,01/09/2011
Department of the Treasury,01/06/2012,01/06/2012,0,26.744,10/01/2010
Department of the Treasury,18/05/2012,18/05/2012,0,1.926,08/09/2008
Department of the Treasury,18/05/2012,18/05/2012,0,2.82,23/08/2008
Department of the Treasury,30/04/2012,18/05/2012,18,3.812,11/07/2011
Department of the Treasury,17/05/2012,17/05/2012,0,34,27/04/2011
Department of the Treasury,05/05/2012,30/04/2012,-5,3.731416,03/08/2011
Department of the Treasury,31/03/2012,31/03/2012,0,1.927104,01/10/2011
Department of the Treasury,02/03/2012,02/03/2012,0,0.04,15/09/2011
Department of the Treasury,30/12/2011,01/02/2012,33,0.2,17/10/2011
Department of the Treasury,03/12/2011,31/01/2012,59,3.990648,16/05/2011
Department of the Treasury,17/01/2012,17/01/2012,0,3.33371,28/02/2011
Department of the Treasury,31/12/2011,31/12/2011,0,0.27,15/09/2011
Department of the Treasury,31/12/2011,31/12/2011,0,1.947777,01/07/2011
Department of the Treasury,13/10/2011,02/12/2011,50,2.861306,16/02/2011
Department of the Treasury,05/12/2011,18/11/2011,-17,1.236,23/08/2011
Department of the Treasury,31/10/2011,31/10/2011,0,0.001,03/10/2011
Department of the Treasury,30/10/2011,30/10/2011,0,0.1,27/04/2011
Department of the Treasury,30/10/2011,15/10/2011,-15,0.1,27/04/2011
Department of the Treasury,30/09/2011,30/09/2011,0,5.117,01/10/2009
Department of the Treasury,30/09/2011,30/09/2011,0,3.06,01/10/2009
Department of the Treasury,,,,20.87,01/10/2011
Department of the Treasury,,,,12,01/03/2011
Department of the Treasury,,,,66.263938,01/10/2011
Department of the Treasury,,,,220.814,01/10/2010
Department of the Treasury,,,,2.443,09/07/2012
Department of the Treasury,,,,0.978,01/02/2012
Department of the Treasury,,,,6.866,01/10/2011
Department of the Treasury,,,,4.737,01/09/2011
Department of the Treasury,,,,8.314,01/01/2012
Department of the Treasury,,,,8.11,01/10/2011
Department of the Treasury,,,,15.4,01/02/2011
Department of the Treasury,,,,1.089368,01/10/2011
Department of the Treasury,,,,9.818451,01/08/2011
Department of the Treasury,,,,0.62,01/01/2012
Department of the Treasury,,,,0.25,01/03/2012
Department of the Treasury,,,,41.36,01/10/2011
Department of the Treasury,,,,46.21,01/10/2011
Department of the Treasury,,,,76.411,01/10/2011
Department of the Treasury,,,,1,29/02/2012
Department of the Treasury,,,,28.05,03/10/2011
Department of the Treasury,,,,3.538811,02/04/2012
Department of the Treasury,,,,4.590668,02/04/2012
Department of the Treasury,,,,2.976311,22/10/2012
Department of the Treasury,,,,,
Department of the Treasury,,,,,
Department of the Treasury,,,,0.25,01/03/2012
Department of the Treasury,,,,16.86,18/01/2012
Department of the Treasury,,,,15.85,01/05/2011
Department of the Treasury,,,,4.15,01/09/2011
Department of the Treasury,,,,14.655,10/09/2012
Department of the Treasury,,,,4.119,01/10/2011
Department of the Treasury,,,,0.79,01/10/2011
Department of the Treasury,,,,0.958,01/10/2011
Department of the Treasury,,,,3.958765,01/10/2011
Department of the Treasury,,,,1.45,01/10/2011
Department of the Treasury,,,,2.808971,16/09/2011
Department of the Treasury,,,,100,01/10/2010
Department of the Treasury,,,,6.823,11/06/2012
Department of the Treasury,,,,2.619056,03/10/2011
Department of the Treasury,,,,4.1196,03/10/2011
Department of the Treasury,,,,3.19865,03/10/2011
Department of the Treasury,,,,1.3799,03/10/2011
Department of the Treasury,,,,2.4432,03/10/2011
Department of the Treasury,,,,2.423,03/10/2011
Department of the Treasury,,,,7.13166,03/10/2011
Department of the Treasury,,,,0.334,01/12/2012
Department of the Treasury,,,,0.492,15/05/2012
Department of the Treasury,,,,0.638,27/08/2012
Department of Transportation,04/12/2014,04/12/2014,0,2.188114,05/03/2012
Department of Transportation,30/09/2013,30/09/2014,365,1.45584,01/10/2010
Department of Transportation,30/04/2013,30/04/2013,0,4.9,15/06/2012
Department of Transportation,28/02/2013,31/03/2013,31,5.198326,01/06/2012
Department of Transportation,01/03/2013,01/03/2013,0,21.31,01/10/2010
Department of Transportation,31/01/2013,28/02/2013,28,1.07,01/07/2011
Department of Transportation,27/02/2013,27/02/2013,0,6,01/04/2008
Department of Transportation,31/08/2011,08/02/2013,527,8.375249,07/12/2007
Department of Transportation,30/09/2012,31/12/2012,92,2622.4,10/12/2002
Department of Transportation,31/12/2012,31/12/2012,0,4.568,15/09/2011
Department of Transportation,31/12/2012,31/12/2012,0,11.2,02/06/2009
Department of Transportation,31/10/2012,30/11/2012,30,6.853979,01/08/2011
Department of Transportation,06/02/2012,28/11/2012,296,6.593198,28/02/2008
Department of Transportation,27/02/2012,15/11/2012,262,4.955238,28/02/2008
Department of Transportation,03/05/2013,15/11/2012,-169,5.685,24/07/2008
Department of Transportation,18/08/2012,15/11/2012,89,2.038441,09/02/2012
Department of Transportation,13/03/2013,08/11/2012,-125,1.905005,02/11/2011
Department of Transportation,01/11/2012,01/11/2012,0,7.473,11/04/2011
Department of Transportation,31/10/2012,31/10/2012,0,80.567407,01/10/2010
Department of Transportation,31/10/2012,31/10/2012,0,104.430457,01/10/2010
Department of Transportation,30/09/2012,31/10/2012,31,1.603,01/10/2010
Department of Transportation,30/09/2012,30/10/2012,30,5.504064,01/01/2012
Department of Transportation,30/10/2012,30/10/2012,0,4.60456,13/09/2010
Department of Transportation,25/01/2012,23/10/2012,272,5.971,28/02/2008
Department of Transportation,30/09/2012,15/10/2012,15,7.148947,01/11/2010
Department of Transportation,15/10/2012,15/10/2012,0,17.686,02/05/2012
Department of Transportation,01/10/2012,01/10/2012,0,3.95257,01/09/2011
Department of Transportation,01/10/2012,01/10/2012,0,34.48,15/05/2012
Department of Transportation,30/09/2012,30/09/2012,0,9.109222,01/08/2010
Department of Transportation,30/06/2012,30/09/2012,92,3.489873,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,142.149761,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,23.028607,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,6.775212,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,182.852142,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,590.038743,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,3.45,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,46.32,01/07/2011
Department of Transportation,30/09/2012,30/09/2012,0,28.088267,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,53.709,01/10/2006
Department of Transportation,30/09/2012,30/09/2012,0,1,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,20.08,01/04/2011
Department of Transportation,30/09/2012,30/09/2012,0,19.11,01/04/2010
Department of Transportation,30/09/2012,30/09/2012,0,9.68,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,2.16,01/11/2010
Department of Transportation,30/09/2012,30/09/2012,0,10.66,01/03/2009
Department of Transportation,30/09/2012,30/09/2012,0,1.33,01/07/2011
Department of Transportation,30/09/2012,30/09/2012,0,18.214,01/03/2011
Department of Transportation,30/09/2012,30/09/2012,0,0.115,15/12/2011
Department of Transportation,30/09/2012,30/09/2012,0,0.65,15/12/2011
Department of Transportation,30/09/2012,30/09/2012,0,20.9,01/10/2008
Department of Transportation,30/09/2012,30/09/2012,0,13.4,29/03/2011
Department of Transportation,30/09/2012,30/09/2012,0,1.353684,01/07/2011
Department of Transportation,30/09/2012,30/09/2012,0,0.5,30/03/2012
Department of Transportation,30/09/2012,30/09/2012,0,32.67,30/03/2012
Department of Transportation,30/09/2012,30/09/2012,0,9.5,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,10.5,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,9,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,14.608886,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,2.505128,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,22.186346,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,7.131407,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,3.092484,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,15.799774,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,7.619988,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,1.15,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,12.592812,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,4.4795,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,29.4055,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,10.203749,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,4.600947,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,5.989489,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,3.11816,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,9.019765,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,1.1,01/10/2011
Department of Transportation,30/09/2012,30/09/2012,0,10.029354,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,11.761813,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,20.295929,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,7.691524,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,15.580002,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,13.24969,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,3.384274,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,20.120384,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,10.59037,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,27.76489,01/10/2010
Department of Transportation,30/09/2012,30/09/2012,0,16.55073,15/05/2011
Department of Transportation,30/09/2012,30/09/2012,0,10.324,01/06/2011
Department of Transportation,30/09/2012,30/09/2012,0,5,22/07/2011
Department of Transportation,30/09/2012,30/09/2012,0,0.224,01/10/2011
Department of Transportation,28/09/2012,28/09/2012,0,3.57573,03/10/2011
Department of Transportation,28/09/2012,28/09/2012,0,1.721284,03/10/2011
Department of Transportation,28/09/2012,28/09/2012,0,1.992704,03/10/2011
Department of Transportation,28/09/2012,28/09/2012,0,0.205024,03/10/2011
Department of Transportation,28/09/2012,28/09/2012,0,0.400654,03/10/2011
Department of Transportation,28/02/2012,28/09/2012,213,19.611,01/10/2009
Department of Transportation,30/01/2012,28/09/2012,242,5,01/08/2011
Department of Transportation,28/09/2012,28/09/2012,0,0.000002,15/11/2010
Department of Transportation,25/01/2012,28/09/2012,247,5.047549,10/01/2011
Department of Transportation,27/09/2012,27/09/2012,0,26,01/07/2011
Department of Transportation,27/09/2012,27/09/2012,0,246,01/07/2011
Department of Transportation,20/03/2013,18/09/2012,-183,2.387,26/05/2010
Department of Transportation,30/03/2012,10/09/2012,164,1.575,16/02/2010
Department of Transportation,31/08/2012,31/08/2012,0,13.947928,01/10/2010
Department of Transportation,29/05/2012,31/08/2012,94,2.759,01/11/2011
Department of Transportation,31/08/2012,31/08/2012,0,5.703087,01/08/2011
Department of Transportation,31/07/2012,31/08/2012,31,5,01/01/2012
Department of Transportation,30/08/2012,30/08/2012,0,27,06/02/2009
Department of Transportation,13/02/2013,28/08/2012,-169,1.673141,14/10/2011
Department of Transportation,15/02/2012,15/08/2012,182,1.2,01/01/2010
Department of Transportation,20/07/2012,20/07/2012,0,0.491,27/10/2011
Department of Transportation,31/05/2012,12/07/2012,42,1.2,01/10/2011
Department of Transportation,31/03/2012,30/06/2012,91,3.641,08/07/2011
Department of Transportation,30/06/2012,29/06/2012,-1,5.31,01/06/2011
Department of Transportation,30/06/2012,29/06/2012,-1,3,01/10/2008
Department of Transportation,09/05/2012,14/06/2012,36,0.094825,01/02/2012
Department of Transportation,30/09/2012,07/06/2012,-115,4.276,15/04/2007
Department of Transportation,30/04/2012,31/05/2012,31,17.32905,01/07/2011
Department of Transportation,31/05/2012,31/05/2012,0,0.813,25/01/2011
Department of Transportation,30/05/2012,30/05/2012,0,22,01/06/2009
Department of Transportation,30/07/2012,29/05/2012,-62,3.432272,01/10/2010
Department of Transportation,30/09/2012,18/05/2012,-135,0.6,01/02/2009
Department of Transportation,30/04/2012,11/05/2012,11,11.04198,01/10/2010
Department of Transportation,30/05/2012,06/05/2012,-24,15.88931,09/04/2010
Department of Transportation,30/04/2012,30/04/2012,0,7.416827,01/07/2010
Department of Transportation,31/12/2011,30/04/2012,121,1,01/10/2011
Department of Transportation,26/03/2012,24/04/2012,29,5.921,15/02/2011
Department of Transportation,30/09/2011,20/04/2012,203,2.5,01/07/2011
Department of Transportation,31/03/2012,31/03/2012,0,111,01/10/2008
Department of Transportation,19/03/2012,19/03/2012,0,0.59,21/02/2011
Department of Transportation,16/01/2012,16/03/2012,60,9.401802,10/12/2007
Department of Transportation,18/04/2012,29/02/2012,-49,0.873,01/07/2011
Department of Transportation,30/12/2011,31/01/2012,32,11.075,01/10/2010
Department of Transportation,01/11/2011,26/01/2012,86,3.423,26/04/2011
Department of Transportation,31/12/2011,11/01/2012,11,3.135645,28/07/2011
Department of Transportation,31/10/2011,31/12/2011,61,0.35754,09/05/2011
Department of Transportation,31/12/2011,21/12/2011,-10,3.1,01/12/2010
Department of Transportation,30/11/2011,05/12/2011,5,3.353,01/06/2011
Department of Transportation,30/11/2011,30/11/2011,0,0.791,24/03/2011
Department of Transportation,30/09/2011,27/11/2011,58,0.45,01/07/2011
Department of Transportation,15/11/2011,15/11/2011,0,0.000002,04/05/2011
Department of Transportation,15/11/2011,15/11/2011,0,0.05,01/10/2011
Department of Transportation,15/11/2011,05/11/2011,-10,8.402,01/03/2010
Department of Transportation,31/10/2011,31/10/2011,0,6.21,01/04/2011
Department of Transportation,22/08/2011,31/10/2011,70,0.25,28/03/2011
Department of Transportation,06/10/2011,06/10/2011,0,0.000002,04/04/2011
Department of Transportation,30/09/2011,30/09/2011,0,1.027,01/03/2011
Department of Transportation,30/09/2011,30/09/2011,0,8,01/07/2011
Department of Transportation,30/09/2011,30/09/2011,0,6.871,30/09/2010
Department of Transportation,30/09/2011,30/09/2011,0,8.713913,01/10/2010
Department of Transportation,30/09/2011,30/09/2011,0,4.3494,01/10/2010
Department of Transportation,30/09/2011,30/09/2011,0,3,01/07/2011
Department of Transportation,31/07/2011,29/09/2011,60,3.674,15/03/2010
Department of Transportation,30/09/2011,28/09/2011,-2,0.053,27/05/2011
Department of Transportation,30/09/2011,14/09/2011,-16,7,01/03/2009
Department of Transportation,30/09/2011,25/08/2011,-36,10.233,01/10/2010
Department of Transportation,25/08/2011,25/08/2011,0,0.009104,07/12/2010
Department of Transportation,31/08/2011,31/07/2011,-31,0.12,01/02/2011
Department of Transportation,30/07/2011,30/07/2011,0,2.87,30/04/2010
Department of Transportation,25/07/2011,25/07/2011,0,10.789,28/02/2008
Department of Transportation,18/05/2011,21/07/2011,64,13.2,01/05/2007
Department of Transportation,21/07/2011,21/07/2011,0,7.317,28/02/2008
Department of Transportation,30/09/2011,22/06/2011,-100,20.97,15/01/2005
Department of Transportation,30/09/2010,31/05/2011,243,0.198,15/06/2010
Department of Transportation,07/05/2011,07/05/2011,0,0.000002,01/09/2010
Department of Transportation,18/02/2011,18/02/2011,0,0.000001,01/06/2010
Department of Transportation,11/02/2011,11/02/2011,0,0.12,13/12/2010
Department of Transportation,,,,5.939655,01/10/2011
Department of Transportation,,,,0.25,01/05/2012
Department of Transportation,,,,6.54,29/09/2010
Department of Transportation,,,,2.171,21/09/2010
Department of Transportation,,,,32.4,01/10/2010
Department of Transportation,,,,5.6,01/03/2011
Department of Transportation,,,,44.6,01/10/2011
Department of Transportation,,,,23.55,30/04/2010
Department of Transportation,,,,4.668,15/08/2010
Department of Transportation,,,,5.13,01/12/2011
Department of Transportation,,,,1.587,01/09/2011
Department of Transportation,,,,6.245,16/02/2012
Department of Transportation,,,,28.759,30/04/2010
Department of Transportation,,,,6.379,25/10/2006
Department of Transportation,,,,4.772,27/07/2009
Department of Transportation,,,,1.238,01/07/2008
Department of Transportation,,,,10.094,08/03/2010
Department of Transportation,,,,2.985,01/02/2011
Department of Transportation,,,,6.194,15/02/2011
Department of Transportation,,,,17.515,01/01/2011
Department of Transportation,,,,7.5,01/08/2012
Department of Transportation,,,,10.711439,07/06/2007
Department of Transportation,,,,8.36596,04/12/2006
Department of Transportation,,,,11.902777,28/02/2008
Department of Transportation,,,,5.854571,15/01/2008
Department of Transportation,,,,4.953508,28/02/2008
Department of Transportation,,,,6.061,28/02/2008
Department of Transportation,,,,7.346,28/02/2008
Department of Transportation,,,,6.424,28/02/2008
Department of Transportation,,,,6.2,28/02/2008
Department of Transportation,,,,5.458519,03/10/2011
Department of Transportation,,,,1.239666,03/10/2011
Department of Transportation,,,,0.750953,03/10/2011
Department of Transportation,,,,0.310057,05/06/2012
Department of Transportation,,,,0.115838,01/11/2011
